"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","costCalculatorTest(double, String, String, String, int) [2] 2.5, CargoSizeScale.BIG, CargoFragileScale.NORMAL, DeliveryLoadScale.NORMAL_LOAD, 400","","Sat Oct 12 19:00:04 MSK 2024","passed","Sat Oct 12 19:00:04 MSK 2024","","DeliveryCalculationTest","DeliveryCalculationTest","costCalculatorTest"
"","2","deliveryLoadFactorSelectorTest(String, double) [3] DeliveryLoadScale.HIGH_LOAD, 1.4","","Sat Oct 12 19:00:04 MSK 2024","passed","Sat Oct 12 19:00:04 MSK 2024","","DeliveryCalculationTest","DeliveryCalculationTest","deliveryLoadFactorSelectorTest"
"","2","costCalculatorTest(double, String, String, String, int) [5] 30, CargoSizeScale.BIG, CargoFragileScale.FRAGILE, DeliveryLoadScale.OVER_LOAD, 1120","","Sat Oct 12 19:00:04 MSK 2024","passed","Sat Oct 12 19:00:04 MSK 2024","","DeliveryCalculationTest","DeliveryCalculationTest","costCalculatorTest"
"","1","distanceCostSelectorTest(double, int) [2] 3.6, 100","","Sat Oct 12 19:00:04 MSK 2024","passed","Sat Oct 12 19:00:04 MSK 2024","","DeliveryCalculationTest","DeliveryCalculationTest","distanceCostSelectorTest"
"","2","distanceCostSelectorTest(double, int) [4] 35.4, 300","","Sat Oct 12 19:00:04 MSK 2024","passed","Sat Oct 12 19:00:04 MSK 2024","","DeliveryCalculationTest","DeliveryCalculationTest","distanceCostSelectorTest"
"","2","deliveryLoadFactorSelectorTest(String, double) [4] DeliveryLoadScale.OVER_LOAD, 1.6","","Sat Oct 12 19:00:04 MSK 2024","passed","Sat Oct 12 19:00:04 MSK 2024","","DeliveryCalculationTest","DeliveryCalculationTest","deliveryLoadFactorSelectorTest"
"","1","costCalculatorTest(double, String, String, String, int) [3] 15, CargoSizeScale.BIG, CargoFragileScale.FRAGILE, DeliveryLoadScale.MIDDLE_LOAD, 840","","Sat Oct 12 19:00:04 MSK 2024","passed","Sat Oct 12 19:00:04 MSK 2024","","DeliveryCalculationTest","DeliveryCalculationTest","costCalculatorTest"
"","6","costCalculatorThrowsExceptionFragileCargoDistanceMoreover30Test()","","Sat Oct 12 19:00:04 MSK 2024","passed","Sat Oct 12 19:00:04 MSK 2024","","DeliveryCalculationTest","DeliveryCalculationTest","costCalculatorThrowsExceptionFragileCargoDistanceMoreover30Test"
"","5","cargoFragileCostSelectorTest(String, int) [1] CargoFragileScale.NORMAL, 0","","Sat Oct 12 19:00:04 MSK 2024","passed","Sat Oct 12 19:00:04 MSK 2024","","DeliveryCalculationTest","DeliveryCalculationTest","cargoFragileCostSelectorTest"
"","2","costCalculatorTest(double, String, String, String, int) [4] 30, CargoSizeScale.BIG, CargoFragileScale.FRAGILE, DeliveryLoadScale.HIGH_LOAD, 980","","Sat Oct 12 19:00:04 MSK 2024","passed","Sat Oct 12 19:00:04 MSK 2024","","DeliveryCalculationTest","DeliveryCalculationTest","costCalculatorTest"
"","1","distanceCostSelectorTest(double, int) [3] 15.7, 200","","Sat Oct 12 19:00:04 MSK 2024","passed","Sat Oct 12 19:00:04 MSK 2024","","DeliveryCalculationTest","DeliveryCalculationTest","distanceCostSelectorTest"
"","4","distanceCostSelectorTest(double, int) [1] 1.2, 50","","Sat Oct 12 19:00:04 MSK 2024","passed","Sat Oct 12 19:00:04 MSK 2024","","DeliveryCalculationTest","DeliveryCalculationTest","distanceCostSelectorTest"
"","2","cargoFragileCostSelectorTest(String, int) [2] CargoFragileScale.FRAGILE, 300","","Sat Oct 12 19:00:04 MSK 2024","passed","Sat Oct 12 19:00:04 MSK 2024","","DeliveryCalculationTest","DeliveryCalculationTest","cargoFragileCostSelectorTest"
"","2","cargoSizeCostSelectorTest(String, int) [1] CargoSizeScale.SMALL, 100","","Sat Oct 12 19:00:04 MSK 2024","passed","Sat Oct 12 19:00:04 MSK 2024","","DeliveryCalculationTest","DeliveryCalculationTest","cargoSizeCostSelectorTest"
"","70","deliveryLoadFactorSelectorTest(String, double) [1] DeliveryLoadScale.NORMAL_LOAD, 1","","Sat Oct 12 19:00:04 MSK 2024","passed","Sat Oct 12 19:00:04 MSK 2024","","DeliveryCalculationTest","DeliveryCalculationTest","deliveryLoadFactorSelectorTest"
"","2","deliveryLoadFactorSelectorTest(String, double) [2] DeliveryLoadScale.MIDDLE_LOAD, 1.2","","Sat Oct 12 19:00:04 MSK 2024","passed","Sat Oct 12 19:00:04 MSK 2024","","DeliveryCalculationTest","DeliveryCalculationTest","deliveryLoadFactorSelectorTest"
"","1","cargoSizeCostSelectorTest(String, int) [2] CargoSizeScale.BIG, 200","","Sat Oct 12 19:00:04 MSK 2024","passed","Sat Oct 12 19:00:04 MSK 2024","","DeliveryCalculationTest","DeliveryCalculationTest","cargoSizeCostSelectorTest"
"","9","costCalculatorTest(double, String, String, String, int) [1] 1.2, CargoSizeScale.SMALL, CargoFragileScale.FRAGILE, DeliveryLoadScale.NORMAL_LOAD, 450","","Sat Oct 12 19:00:04 MSK 2024","passed","Sat Oct 12 19:00:04 MSK 2024","","DeliveryCalculationTest","DeliveryCalculationTest","costCalculatorTest"
"","2","costCalculatorThrowsExceptionWrongDistanceTest()","","Sat Oct 12 19:00:04 MSK 2024","passed","Sat Oct 12 19:00:04 MSK 2024","","DeliveryCalculationTest","DeliveryCalculationTest","costCalculatorThrowsExceptionWrongDistanceTest"
